dialog,emotion
"['Can you study with the radio on', 'No , I listen to background music', 'What is the difference', 'The radio has too many comerials', ""That's true , but then you have to buy a record player""]","[0, 0, 0, 0, 0]"
"['Do you have a light', ""Sorry , I don't smoke""]","[0, 0]"
"['How may I help you', 'I would like to return this book', 'Is that all you need', 'I also want to check out this video', 'Is that all you would like to check out', 'That ’ s all I need', 'Do you have your library card', 'Here it is', 'Make sure to take proper care of this video', 'That won ’ t be a problem', 'If you damage the video , you will be fined', 'I won ’ t damage it']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[""What's wrong with him"", 'His nose is out of joint because we forgot to invite him to the party']","[0, 0]"
"['How can I tell her about this', ""Don't worry , you'll find a way"", 'There is no need to be so frustrated', 'How can you live without job in the future', ""Don't worry , you'll find a way""]","[0, 0, 0, 0, 0]"
"['Is the clock right', ""I'm afraid it gains a little"", 'By how many minutes', 'Two']","[0, 0, 0, 0]"
"['Why are you shivering', ""It's freezing""]","[0, 0]"
"['There will be a parade to celebrate National Day this weekend', ""What's the route"", 'From Zhongshan Circus to City Bank', 'If only I could join it']","[0, 0, 0, 0]"
"[""I'm going to Japan this year on vacation"", 'Have you ever been to America', ""No , but I'd really like to"", ""You'd like it""]","[4, 4, 4, 4]"
"[""Why don't you have dinner with me tonight"", ""I'd love to"", ""Let's say about 6:00"", ""That's OK with me""]","[4, 4, 4, 4]"
"['What do you think of the coming match', 'Winning is a piece of cake to me', 'You are bragging again']","[0, 0, 0]"
"['What would you reckon the taxing increases', 'Well , the state will benefit a lot , I suppose', 'But what do most people think about it', 'Ah , it ’ s hard to say']","[0, 0, 0, 0]"
"['Jack wonders whether Linda likes him or not', ""Why doesn't he ask her"", 'He is too scared to ask her', ""He's a chicken guy""]","[0, 0, 0, 0]"
"[""Here's the restaurant we're meeting the Smiths at"", ""Let's go in to wait for them"", 'After you']","[0, 0, 0]"
"['What is the correct time , please', ""It's exactly twelve minutes past seven"", 'When will the lecture begin', ""It'll begin at nine o'clock sharp""]","[0, 0, 0, 0]"
